Week,Date,Day,Weight,Calories,Macro Split (C/F/P),Protein (g),Workout,Conditioning (cal estimated using apps),Steps,Cal (cond),Cal (walk),Notes
127,2022-10-24,M,180.8,2008,,110,,,8118,,324.72,for saturday steps took out 3K steps sicne it would be double counted for badminton
,2022-10-25,Tu,180.8,1735,,130,,Bike (30 min),7337,,293.48,
,2022-10-26,W,180.8,1936,,145,"Madcow W7D2: DB Bench, Rope FacePull, TbarDL",Bike (25 min),7631,,305.24,
,2022-10-27,Th,181.8,1991,,137,,Bike (25 min),9237,,369.48,
,2022-10-28,F,181.8,1963,,153,"Madcow W7D3: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",,7853,,314.12,
,2022-10-29,Sa,181.2,1876,,138,,Badminton (60 min),9267,,370.68,
,2022-10-30,Su,180.2,1850,,152,"Madcow W8D1: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",Bike (30 min),7994,,319.76,
128,2022-10-31,M,,1716,,160,"Madcow W8D2: DB Bench, Rope FacePull, TbarDL",Bike (25 min),7904,,316.16,
,2022-11-01,Tu,180.2,1935,,147,,Bike (25 min),7383,,295.32,
,2022-11-02,W,,1991,,153,,,7500,,300,
,2022-11-03,Th,181,1963,,151,"Madcow W8D3: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",,7126,,285.04,
,2022-11-04,F,180.4,1876,,150,,,7768,,310.72,
,2022-11-05,Sa,179.8,1850,,145,"Madcow W9D1: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",Bike (16 min),7486,,299.44,
,2022-11-06,Su,,1716,,102,,,9138,,365.52,
129,2022-11-07,M,180.8,2047,,180,,Bike (50 min),7730,,309.2,
,2022-11-08,Tu,179.8,2011,,117,,,7633,,305.32,
,2022-11-09,W,,1877,,140,"Madcow W9D2: DB Bench, Rope FacePull, TbarDL",Bike (15 min),7723,,308.92,
,2022-11-10,Th,179.8,2248,,,,,14294,,571.76,
,2022-11-11,F,,1834,,156,"Madcow W9D3: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",Bike (20 min),7677,,307.08,
,2022-11-12,Sa,179.8,1708,,154,,Bike (47 min),7786,,311.44,
,2022-11-13,Su,179,1952,,168,"Madcow W10D1: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",EMOM 10 min: PPress/KB Swing,8012,107,320.48,
130,2022-11-14,M,179,1678,,146,,Bike (45 min),7551,340,302.04,
,2022-11-15,Tu,,1957,,164,,,7461,,298.44,
,2022-11-16,W,179,1771,,156,"Madcow W10D2: DB Bench, Rope FacePull, TbarDL",Bike (30 min),7825,276,313,
,2022-11-17,Th,179,1752,,154,,Bike (50 min),7822,353,312.88,
,2022-11-18,F,179,1989,,150,"Madcow W10D3: SwissBar Press, DTbarDL, BBrow, Tricep PushDown, BBH Thrust",,8083,,323.32,
,2022-11-19,Sa,179,1865,,153,,Bike (36 min),7644,300,305.76,
,2022-11-20,Su,178.2,1795,,153,"Madcow W11D1: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",Bike (30 min),7965,219,318.6,
131,2022-11-21,M,178.2,1923,,151,,Bike (35 min),7598,257,303.92,
,2022-11-22,Tu,178.2,1933,,164,"Madcow W11D2: DB Bench, Rope FacePull, TbarDL",Bike (21 min),7652,153,306.08,
,2022-11-23,W,,1947,,164,,Bike (32 min),7801,204,312.04,
,2022-11-24,Th,177.2,2380,,158,,Bike (45 min),8819,326,352.76,
,2022-11-25,F,178,2033,,165,"Madcow W11D3: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",Bike (31 min),8293,286,331.72,
,2022-11-26,Sa,178.2,1941,,155,,Bike (50 min),7630,369,305.2,
,2022-11-27,Su,177.4,2096,,166,"Madcow W12D1: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",Bike (32 min),8099,303,323.96,
132,2022-11-28,M,,2069,,136,,Bike (30 min),8386,212,335.44,
,2022-11-29,Tu,,1858,,140,,Bike (46 min),7608,339,304.32,
,2022-11-30,W,,1939,,162,"Madcow W12D2: DB Bench, Rope FacePull, TbarDL",Bike (30 min),7907,251,316.28,
,2022-12-01,Th,178.4,1789,,153,,Bike (26 min),7586,176,303.44,
,2022-12-02,F,178.4,1817,,170,"Madcow W12D3: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",,8213,,328.52,
,2022-12-03,Sa,177.8,1902,,139,,,9266,,370.64,
,2022-12-04,Su,177.8,1928,,159,"Madcow W1D1: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",Bike (34 min),7551,301,302.04,Cycle 2
133,2022-12-05,M,,1896,,148,,Bike (40 min),8113,331,324.52,
,2022-12-06,Tu,,1906,,161,,Bike (31 min),7829,226,313.16,
,2022-12-07,W,,1802,,152,"Madcow W1D2: DB Bench, Rope FacePull, TbarDL",Bike (33 min),7795,314,311.8,
,2022-12-08,Th,177.2,1949,,141,,Bike (40 min),7838,335,313.52,
,2022-12-09,F,177.2,1952,,151,"Madcow W1D3: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",Bike (22 min),8066,211,322.64,
,2022-12-10,Sa,177.2,1889,,161,,Bike (45 min),7957,315,318.28,
,2022-12-11,Su,177.4,2002,,162,"Madcow W2D1: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",Bike (32 min),7731,235,309.24,
134,2022-12-12,M,177.4,2063,,155,,Bike (20 min),7756,151,310.24,
,2022-12-13,Tu,177.4,1873,,173,,Bike (30 min),7597,217,303.88,
,2022-12-14,W,177.2,1951,,187,"Madcow W2D2: DB Bench, Rope FacePull, TbarDL",Bike (32 min),8185,278,327.4,
,2022-12-15,Th,177.2,2626,,161,,,9494,,379.76,
,2022-12-16,F,177.2,1882,,168,,Bike (46 min),7852,353,314.08,
,2022-12-17,Sa,176,2753,,151,"Madcow W2D3: SwissBar Press, DTbarDL, TBarRDL, BBrow, Tricep PushDown",Bike (26 min),9102,251,364.08,
,2022-12-18,Su,177,1759,,143,,Bike (36 min),9408,251,376.32,
135,2022-12-19,M,177,1867,,157,"Madcow W3D1: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",Bike (30 min),8225,265,329,"felt a bit of left knee pain (mostly just swelling on top of knee cap, not like what I'd get for squats) - likely from so much biking?"
,2022-12-20,Tu,176.2,1848,,164,,Bike (38 min),8293,306,331.72,
,2022-12-21,W,175,1844,,155,"Madcow W3D2.1: DB Bench, Rope FacePull",,8084,,323.36,
,2022-12-22,Th,175,1643,,154,"Madcow W3D3.1: SwissBar Press, BBrow",Bike (48 min),7793,275,311.72,
,2022-12-23,F,175,1865,,164,"Madcow W2D2/3.2: DTbarDL, TBarDL",Bike (20 min),8338,131,333.52,
,2022-12-24,Sa,175.8,2111,,142,,,11783,,471.32,
,2022-12-25,Su,175.8,2311,,199,"Madcow W4D1: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",Bike (30 min),7639,277,305.56,
136,2022-12-26,M,176.6,1663,,123,,Bike (43 min),10802,305,432.08,
,2022-12-27,Tu,176.6,1977,,171,"Madcow W4D2: DB Bench, Rope FacePull, TbarDL",Bike (25 min),8247,202,329.88,
,2022-12-28,W,175.4,1773,,147,DB Hammer Curl,Bike (45 min),7920,305,316.8,
,2022-12-29,Th,175,1842,,161,"Madcow W4D3: SwissBar Press, DTbarDL, TBarRDL, BBrow, Tricep PushDown",,9694,,387.76,
,2022-12-30,F,,2985,,181,,,12831,,513.24,
,2022-12-31,Sa,,2409,,122,,,7702,,308.08,
,2023-01-01,Su,,2039,,89,,Bike (36 min),9740,254,389.6,
137,2023-01-02,M,,1738,,151,"Madcow W5D1: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",Bike (15 min),9632,152,385.28,
,2023-01-03,Tu,176.6,1795,,154,,Bike (35 min),7664,251,306.56,
,2023-01-04,W,175,1906,,162,"Madcow W5D2: DB Bench, Rope FacePull, TbarDL",Bike (25 min),8271,232,330.84,
,2023-01-05,Th,175,1907,,159,,Bike (39 min),7756,301,310.24,
,2023-01-06,F,176,2066,,163,"Madcow W5D3: SwissBar Press, DTbarDL, TBarRDL, BBrow, Tricep PushDown, DB Hammer Curl",,7665,,306.6,
,2023-01-07,Sa,175.8,1812,,167,,Bike (45 min),8094,357,323.76,
,2023-01-08,Su,174.3,2031,,131,"Madcow W6D1: SwissBar Press, DTbarDL, BBrow, Dip",,8533,,341.32,
138,2023-01-09,M,175.2,2046,,166,,Bike (37 min),8121,303,324.84,
,2023-01-10,Tu,174,1943,,161,"Madcow W6D2: DB Bench, Rope FacePull, TbarDL, DB Hammer Curl",,7843,,313.72,
,2023-01-11,W,,2306,,139,,,5147,,205.88,
,2023-01-12,Th,,1904,,152,,Bike (42 min),7656,301,306.24,
,2023-01-13,F,,1798,,150,"Madcow W6D3: SwissBar Press, DTbarDL, TBarRDL, BBrow, Tricep PushDown",,8245,,329.8,
,2023-01-14,Sa,175.8,1711,,151,Chinups,Bike (45 min),10094,303,403.76,
,2023-01-15,Su,174.8,2020,,177,"Madcow W7D1: SwissBar Press, DTbarDL, BBrow, Dip",Bike (33 min),7550,307,302,
139,2023-01-16,M,,1917,,153,,Bike (35 min),8303,250,332.12,
,2023-01-17,Tu,175,1892,,156,Chinups,Bike (34 min),8557,250,342.28,
,2023-01-18,W,174.6,1862,,154,"Madcow W7D2: DB Bench, Rope FacePull, TbarDL, DB Hammer Curl",,8310,,332.4,
,2023-01-19,Th,174.6,2146,,153,,,8427,,337.08,Family visiting
,2023-01-20,F,175.4,1776,,144,"Madcow W7D3: SwissBar Press, DTbarDL, TBarRDL, BBrow",Bike (38 min),8307,260,332.28,Family visiting
,2023-01-21,Sa,,1465,,116,,,11263,,450.52,Family visiting
,2023-01-22,Su,175.6,1938,,134,"Madcow W8D1: SwissBar Press, BBrow",Bike (28 min),7520,251,300.8,Family visiting
140,2023-01-23,M,,2158,,120,,,7647,,305.88,Family visiting
,2023-01-24,Tu,,2277,,157,,Bike (29 min),8061,255,322.44,Family visiting
,2023-01-25,W,,1991,,158,,Bike (26 min),7691,227,307.64,Family visiting
,2023-01-26,Th,176,1758,,141,"Madcow W8D2: DB Bench, Rope FacePull, TbarDL, DB Hammer Curl",,7648,,305.92,
,2023-01-27,F,174.8,1904,,152,"Chin-ups, Dips",Bike (31 min),7734,276,309.36,
,2023-01-28,Sa,174.8,1995,,153,,Bike (30 min),8003,251,320.12,
,2023-01-29,Su,174.8,1995,,165,"Madcow W6D1: SwissBar Press, DTbarDL, BBrow",Bike (25 min),8115,203,324.6,
141,2023-01-30,M,173.2,1942,,153,,Bike (28 min),7946,226,317.84,
,2023-01-31,Tu,174.4,1977,,147,,Bike (26 min),7688,202,307.52,
,2023-02-01,W,174.4,1976,,155,"Madcow W9D2: DB Bench, Rope FacePull, TbarDL, DB Hammer Curl",,8526,,341.04,
,2023-02-02,Th,174.8,1950,,156,"Front Squat, Single Leg Split Squat, Reverse Crunches, Medicine Ball Hamstring Curl",,7666,,306.64,
,2023-02-03,F,175.2,1812,,157,"Madcow W7D3: SwissBar Press, DTbarDL, TBarRDL, BBrow, Tricep PushDown",Bike (29 min),7818,271,312.72,
,2023-02-04,Sa,174.6,2163,,139,,Bike (35 min),7772,269,310.88,
,2023-02-05,Su,174,2028,,154,"Madcow W7D1: SwissBar Press, DTbarDL, BBrow, Dip",Bike (23 min),7611,223,304.44,
142,2023-02-06,M,174,2032,,165,,Bike (30 min),7528,253,301.12,
,2023-02-07,Tu,174.6,1890,,168,"Madcow W9D2: DB Bench, Rope FacePull, TbarDL, DB Hammer Curl",,7735,,309.4,
,2023-02-08,W,174,1901,,150,,Bike (30 min),7690,275,307.6,
,2023-02-09,Th,174,1818,,160,"Madcow W9D3: DB Shoulder Press, Front Squat, BBrow",Bike (27 min),7750,247,310,
,2023-02-10,F,174,1973,,150,,Bike (34 min),7860,270,314.4,
,2023-02-11,Sa,174,2749,,192,,,7551,,302.04,
,2023-02-12,Su,,1760,,138,"Madcow W7D1: SwissBar Press, BBrow, Dip",Bike (25 min),7539,253,301.56,
143,2023-02-13,M,,2003,,148,"Madcow W10D2: Rope FacePull, TbarDL, DB Hammer Curl",,7804,,312.16,
,2023-02-14,Tu,174,1991,,153,,Bike (30 min),7694,267,307.76,
,2023-02-15,W,174,1969,,154,,Bike (28 min),7891,252,315.64,
,2023-02-16,Th,173.4,1856,,143,"Madcow W7D3: Front Squat, OHP, BBrow, Tricep PushDown",Bike (27 min),8065,252,322.6,
,2023-02-17,F,174.2,2749,,148,,,7641,,305.64,
,2023-02-18,Sa,,1825,,150,"Madcow W8D1: SwissBar Press, BBrow, Dip",Bike (28 min),7732,263,309.28,
,2023-02-19,Su,172.8,1721,,158,,Bike (28 min),7837,255,313.48,
144,2023-02-20,M,172.2,1891,,168,,Bike (30 min),7829,255,313.16,
,2023-02-21,Tu,172.8,2020,,172,"Madcow W11D2: Rope FacePull, TbarDL, DB Hammer Curl",,8991,,359.64,
,2023-02-22,W,172.7,1882,,129,,,7744,,309.76,
,2023-02-23,Th,173.2,1860,,141,"Madcow W8D3: OHP, BBrow",Bike (28 min),7799,273,311.96,
,2023-02-24,F,173.8,1869,,158,Chin-ups,Bike (32 min),7908,275,316.32,
,2023-02-25,Sa,172.4,1944,,151,,Bike (27 min),8024,250,320.96,
,2023-02-26,Su,172.4,2181,,164,"Madcow W9D1: SwissBar Press, BBrow, Dip",Bike (30 min),7793,226,311.72,
145,2023-02-27,M,,1887,,151,,Bike (27 min),8245,252,329.8,
,2023-02-28,Tu,172.6,2010,,157,,,8254,,330.16,
,2023-03-01,W,172.8,1922,,157,"Madcow W12D2: TBarDL, DB Hammer Curl",Bike (24 min),8102,237,324.08,
,2023-03-02,Th,173,2632,,149,,,7633,,305.32,
,2023-03-03,F,,1887,,155,"Madcow W9D3: Front Squat, BBrow",,11303,,452.12,
,2023-03-04,Sa,172.6,2086,,167,,Bike (38 min),7683,353,307.32,
,2023-03-05,Su,173,2086,,160,"Madcow W10D1: SwissBar Press, BBRow, Ring Support Hold",,7748,,309.92,
146,2023-03-06,M,173.4,1885,,161,,Bike (28 min),7853,252,314.12,
,2023-03-07,Tu,172.3,2092,,160,,,7607,,304.28,
,2023-03-08,W,172.6,1868,,152,"Madcow Deload: Rope FacePull, TBarDL, Chin-ups",Bike (24 min),8591,251,343.64,
,2023-03-09,Th,,1981,,160,,Bike (28 min),7728,247,309.12,
,2023-03-10,F,172.6,1888,,159,,Bike (28 min),7925,257,317,
,2023-03-11,Sa,172.8,1930,,157,"Madcow W1D1: SwissBar Press, RDL, BBRow, Dips",Bike (30 min),7749,234,309.96,
,2023-03-12,Su,173.2,2004,,150,,Bike (27 min),7668,225,306.72,
147,2023-03-13,M,171.6,1878,,155,"Madcow W1D2: Rope FacePull, TBarDL, DB Hammer Curl, Rev Wrist Curl",Bike (23 min),7874,228,314.96,
,2023-03-14,Tu,172.4,2055,,116,,,7937,,317.48,
,2023-03-15,W,,1953,,163,,Bike (23 min),8903,226,356.12,
,2023-03-16,Th,172.4,1878,,151,"Madcow W1D3: SwissBar Press, BBRow, FSquat, Chin-ups",Bike (22 min),8166,228,326.64,
,2023-03-17,F,172.4,1985,,157,,Bike (26 min),7935,230,317.4,
,2023-03-18,Sa,171.3,1895,,156,"Madcow W2D1: SwissBar Press, RDL, BBRow, WDips",Bike (27 min),7981,245,319.24,
,2023-03-19,Su,172,2086,,166,,,9911,,396.44,
148,2023-03-20,M,172,1919,,169,,Bike (25 min),7880,227,315.2,
,2023-03-21,Tu,172.6,2034,,164,"Madcow W2D2: Rope FacePull, TBarDL, DB Hammer Curl, Rev Wrist Curl, Lateral Raise",,7741,,309.64,
,2023-03-22,W,172.6,1926,,163,,Bike (23 min),8471,225,338.84,
,2023-03-23,Th,,1932,,147,"Madcow W2D3: BBRow, FSquat, Chin-ups",Bike (27 min),7947,247,317.88,
,2023-03-24,F,172.6,2090,,146,,Bike (29 min),8553,246,342.12,
,2023-03-25,Sa,171.8,2091,,147,,,7743,,309.72,
,2023-03-26,Su,,2071,,168,"Madcow W3D1: SwissBar Press, RDL, BBRow, WDips",,7977,,319.08,
149,2023-03-27,M,,1958,,164,,Bike (32 min),7694,252,307.76,
,2023-03-28,Tu,173.2,1894,,150,"Madcow W3D2: Rope FacePull, TBarDL, DB Hammer Curl, Lateral Raise",,7759,,310.36,
,2023-03-29,W,173.2,1822,,157,,Bike (25 min),8469,227,338.76,
,2023-03-30,Th,172.6,1911,,160,,Bike (24 min),7787,231,311.48,
,2023-03-31,F,173,1773,,149,"Madcow W3D3: FSquat, SwissBar Press, BBRow, Chin-ups",,7876,,315.04,
,2023-04-01,Sa,172,2487,,163,,,8593,,343.72,
,2023-04-02,Su,172.4,1842,,135,,Bike (27 min),8086,250,323.44,
150,2023-04-03,M,172,1798,,161,"Madcow W4D1: SwissBar Press, RDL, BBRow, WDips",,7805,,312.2,
,2023-04-04,Tu,171.8,1856,,158,,Bike (29 min),7752,256,310.08,
,2023-04-05,W,171.4,1711,,149,,,7809,,312.36,
,2023-04-06,Th,171.6,1788,,145,,Bike (24 min),7905,225,316.2,
,2023-04-07,F,170.8,1883,,152,,,7730,250,309.2,
,2023-04-08,Sa,171.6,2011,,150,"Madcow W4D2: Rope FacePull, TBarDL, DB Hammer Curl, Rev Wrist Curl, Lateral Raise",Bike (25 min),9348,,373.92,
,2023-04-09,Su,172.4,1927,,159,,Bike (27 min),8112,225,324.48,
151,2023-04-10,M,171.2,1864,,148,,Bike (25 min),7757,225,310.28,
,2023-04-11,Tu,170.8,1871,,152,"Madcow W4D3: FSquat, SwissBar Press, BBRow, Chin-ups",Bike (22 min),7674,237,306.96,
,2023-04-12,W,171.6,1893,,154,,Bike (31 min),7542,246,301.68,
,2023-04-13,Th,171.2,2375,,172,,,8720,,348.8,
,2023-04-14,F,,2824,,136,,,13936,,557.44,
,2023-04-15,Sa,,2419,,151,,,12132,,485.28,
,2023-04-16,Su,,2045,,126,,,8654,,346.16,
152,2023-04-17,M,,2030,,155,"Madcow W4D1: SwissBar Press, RDL, BBRow, WDips",Bike (25 min),8868,250,354.72,
,2023-04-18,Tu,173,2084,,146,,,7706,,308.24,
,2023-04-19,W,173.2,1794,,159,,Bike (25 min),7635,225,305.4,
,2023-04-20,Th,173.4,1799,,157,,,7796,,311.84,
,2023-04-21,F,172.4,1724,,148,,,8086,,323.44,
,2023-04-22,Sa,171.2,2102,,136,,,10257,,410.28,
,2023-04-23,Su,172.2,1848,,144,"Madcow W4D1: SwissBar Press, RDL, BBRow, WDips",,7670,,306.8,
153,2023-04-24,M,172,2192,,150,,Bike (25 min),7881,225,315.24,
,2023-04-25,Tu,171.5,1815,,161,"Madcow W4D2: Rope FacePull, TBarDL, DB Hammer Curl, Rev Wrist Curl, Lateral Raise",Bike (22 min),7956,225,318.24,
,2023-04-26,W,172,1769,,149,,Bike (26 min),8081,225,323.24,
,2023-04-27,Th,,2101,,171,,Bike (27 min),7764,225,310.56,
,2023-04-28,F,171.6,1836,,155,"Madcow W4D3: FSquat, SwissBar Press, BBRow, Chin-ups",,7554,,302.16,
,2023-04-29,Sa,171.6,2400,,132,,,7997,,319.88,
,2023-04-30,Su,,1927,,170,"Madcow W5D1: SwissBar Press, RDL, BBRow, WDips",,7550,,302,
154,2023-05-01,M,172.2,1863,,158,,Bike (24 min),8704,225,348.16,
,2023-05-02,Tu,171.6,1982,,162,"Madcow W5D2: Rope FacePull, TBarDL, DB Hammer Curl, Lateral Raise",,8625,,345,
,2023-05-03,W,,1890,,163,,Bike (25 min),8031,225,321.24,
,2023-05-04,Th,,1917,,155,,Bike (25 min),8071,225,322.84,
,2023-05-05,F,172,1999,,162,,,8808,,352.32,
,2023-05-06,Sa,170.6,2241,,157,,,8078,,323.12,
,2023-05-07,Su,170.4,1974,,155,,Bike (22 min),8458,225,338.32,
155,2023-05-08,M,170.4,1954,,159,,Bike (29 min),8266,225,330.64,
,2023-05-09,Tu,171.6,1940,,160,"Madcow W5D3: FSquat, SwissBar Press, BBRow, WChin-ups",,8134,,325.36,
,2023-05-10,W,172.2,1973,,139,,,7835,,313.4,
,2023-05-11,Th,172.4,,,114,"Madcow W#D1: SwissBar Press, RDL, BBRow, WDips",,7745,,309.8,
,2023-05-12,F,,1720,,142,,Bike (26 min),7931,225,317.24,
,2023-05-13,Sa,172.6,2123,,157,,,9077,,363.08,
,2023-05-14,Su,,1885,,153,,Bike (29 min),7860,225,314.4,
156,2023-05-15,M,172,2041,,165,,Bike (26 min),7747,225,309.88,
,2023-05-16,Tu,171.4,1932,,156,"Madcow W#D2: Rope FacePull, TBarDL, DB Hammer Curl, Lateral Raise",,8228,,329.12,
,2023-05-17,W,171.4,2035,,150,,Bike (25 min),7635,225,305.4,
,2023-05-18,Th,171.4,1945,,176,,,7691,,307.64,
,2023-05-19,F,,1829,,146,,,7998,,319.92,
,2023-05-20,Sa,,2018,,161,,Bike (25 min),8194,225,327.76,
,2023-05-21,Su,171,2069,,170,"Madcow W#D3: FSquat, SwissBar Press, BBRow, WChin-ups",,8308,,332.32,
157,2023-05-22,M,,2131,,167,,Bike (26 min),7987,225,319.48,
,2023-05-23,Tu,170.6,1986,,157,"Madcow W#D1: SwissBar Press, RDL, BBRow, WDips",,7869,,314.76,
,2023-05-24,W,172.4,1891,,152,,Bike (23 min),8011,225,320.44,
,2023-05-25,Th,172,2308,,153,,,7660,,306.4,
,2023-05-26,F,172,1899,,132,,,8471,,338.84,
,2023-05-27,Sa,170.8,2038,,166,"Madcow W#D2: Rope FacePull, TBarDL, DB Hammer Curl, Lateral Raise",,8431,,337.24,
,2023-05-28,Su,171.8,1937,,139,,Bike (26 min),7779,225,311.16,
158,2023-05-29,M,171,2141,,164,"Madcow W#D3: FSquat, SwissBar Press, BBRow, WChin-ups",,8890,,355.6,
,2023-05-30,Tu,171.8,1241,,91,,,7784,,311.36,
,2023-05-31,W,172.6,1849,,145,,,7634,,305.36,
,2023-06-01,Th,172,2168,,156,,Bike (25 min),7695,225,307.8,
,2023-06-02,F,172.4,1979,,157,,Bike (25 min),8202,225,328.08,
,2023-06-03,Sa,171.6,1921,,143,"Madcow W#D1: SwissBar Press, RDL, BBRow, WDips",,9072,,362.88,
,2023-06-04,Su,,2087,,120,,,8450,,338,
159,2023-06-05,M,172,2101,,184,"Madcow W#D2: Rope FacePull, TBarDL",,7711,,308.44,
,2023-06-06,Tu,172.4,2128,,158,,Bike (27 min),7791,225,311.64,
,2023-06-07,W,171.8,2157,,164,,Bike (28 min),8854,225,354.16,
,2023-06-08,Th,172.2,2060,,162,"Madcow W#D3: FSquat, SwissBar Press, BBRow",,8389,,335.56,
,2023-06-09,F,172.2,2337,,124,,,8219,,328.76,
,2023-06-10,Sa,,2053,,112,,,8636,,345.44,
,2023-06-11,Su,,2139,,95,,,8760,,350.4,
160,2023-06-12,M,,2181,,163,"Madcow W#D1: SwissBar Press, RDL, BBRow, WDips",,8224,,328.96,
,2023-06-13,Tu,,2060,,174,,Bike (28 min),7677,225,307.08,
,2023-06-14,W,,2027,,159,,Bike (28 min),7650,225,306,
,2023-06-15,Th,173.6,2060,,151,,,7675,,307,
,2023-06-16,F,173.6,2005,,159,,,7736,,309.44,
,2023-06-17,Sa,172.6,2131,,172,"Madcow W#D2: Rope FacePull, TBarDL, DB Hammer Curl, Lateral Raise",,8303,,332.12,
,2023-06-18,Su,173.2,2223,,126,,Bike (25 min),8136,225,325.44,
161,2023-06-19,M,173.4,2154,,174,"Madcow W#D3: FSquat, SwissBar Press, BBRow, WChin-ups",,8714,,348.56,
,2023-06-20,Tu,173.6,2431,,156,"Accessoy: DB Hammer Curl, Lateral Raise",Bike (26 min),8299,225,331.96,
,2023-06-21,W,,1779,,168,,,8662,,346.48,
,2023-06-22,Th,172.8,2075,,163,,Bike (27 min),8924,225,356.96,
,2023-06-23,F,173.8,1978,,139,,,10400,,416,
,2023-06-24,Sa,,2240,,175,"Madcow W#D1: SwissBar Press, RDL, BBRow, WDips",,7899,,315.96,
,2023-06-25,Su,174,1855,,173,,Bike (29 min),7824,225,312.96,
162,2023-06-26,M,173.2,2033,,157,"Madcow W#D2: Rope FacePull, TBarDL, DB Hammer Curl, Lateral Raise",,9497,,379.88,
,2023-06-27,Tu,173.2,1765,,157,,,8297,,331.88,
,2023-06-28,W,172.2,2233,,165,,Bike (25 min),7735,225,309.4,
,2023-06-29,Th,173.4,2501,,155,,,7679,,307.16,
,2023-06-30,F,,2025,,156,"Madcow W#D3: FSquat, SwissBar Press, BBRow",,7965,,318.6,
,2023-07-01,Sa,173.2,,,,,,15477,,619.08,
,2023-07-02,Su,,2454,,157,,,8168,,326.72,
163,2023-07-03,M,,1995,,160,"Madcow W#D1: SwissBar Press, RDL, BBRow, WDips",,8552,,342.08,
,2023-07-04,Tu,173.8,2134,,174,,Bike (28 min),7858,225,314.32,
,2023-07-05,W,,1824,,152,,,7877,,315.08,
,2023-07-06,Th,,2151,,154,,Bike (26 min),8232,225,329.28,
,2023-07-07,F,172.8,1954,,162,"Madcow W#D2: Rope FacePull, TBarDL, DB Hammer Curl, Lateral Raise",,7619,,304.76,
,2023-07-08,Sa,,2521,,96,,,7967,,318.68,
,2023-07-09,Su,,2103,,131,,Bike (25 min),7831,225,313.24,
164,2023-07-10,M,,1985,,170,,,7861,,314.44,
,2023-07-11,Tu,174.2,985,,77,,,7636,,305.44,
,2023-07-12,W,,2027,,173,,Bike (25 min),7671,225,306.84,
,2023-07-13,Th,,1928,,121,,Bike (28 min),7698,225,307.92,
,2023-07-14,F,,1952,,156,,,7822,,312.88,
,2023-07-15,Sa,173,2011,,157,"Madcow W#D3: FSquat, SwissBar Press, BBRow, WChin-ups",,8147,,325.88,
,2023-07-16,Su,,2042,,127,,,7538,,301.52,
165,2023-07-17,M,,1962,,152,,,7592,,303.68,
,2023-07-18,Tu,,1769,,161,"Madcow W#D1: SwissBar Press, RDL, BBRow, WDips",,8010,,320.4,
,2023-07-19,W,175.4,1912,,160,"Madcow W#D2: Rope FacePull, TBarDL, DB Hammer Curl",,8286,,331.44,
,2023-07-20,Th,174.2,2187,,143,,Bike (28 min),7692,225,307.68,
,2023-07-21,F,,1958,,166,"Madcow W#D3: FSquat, SwissBar Press, BBRow, WChin-ups",,7849,,313.96,
,2023-07-22,Sa,174.6,1814,,127,,,7785,,311.4,
,2023-07-23,Su,174.6,2032,,128,"Madcow W#D1: SwissBar Press, BBRow",Bike (26 min),8398,225,335.92,
166,2023-07-24,M,174.6,2264,,137,,,8378,,335.12,
,2023-07-25,Tu,174.4,2232,,132,,Bike (25 min),7590,225,303.6,
,2023-07-26,W,174.4,1836,,159,"Madcow W#D2: Rope FacePull, TBarDL, DB Hammer Curl",,8723,,348.92,
,2023-07-27,Th,174,2088,,147,,Bike (28 min),7776,225,311.04,
,2023-07-28,F,173.5,2035,,161,"Madcow W#D3: FSquat, SwissBar Press, BBRow, WChin-ups",,8146,,325.84,
,2023-07-29,Sa,,2255,,147,,Pickleball (60 min),9454,,378.16,
,2023-07-30,Su,174.2,1973,,140,,Bike (26 min)),7817,225,312.68,
167,2023-07-31,M,174.2,1863,,154,,,7733,,309.32,
,2023-08-01,Tu,,1910,,152,"Madcow W#D1: SwissBar Press, RDL, BBRow, WDips",,7904,,316.16,
,2023-08-02,W,175,2001,,154,,Bike (25 min),8027,225,321.08,
,2023-08-03,Th,174.2,2005,,160,"Madcow W#D2: Rope FacePull, TBarDL, DB Hammer Curl",,9220,,368.8,
,2023-08-04,F,174.2,1943,,110,,,7914,,316.56,
,2023-08-05,Sa,173.8,2234,,148,,Bike (25 min),7788,225,311.52,
,2023-08-06,Su,,2105,,141,"Triumvariate D1: SwissBar Press, Dips, Chin-ups",,8025,,321,
168,2023-08-07,M,,1962,,157,,Bike (25 min),7619,225,304.76,
